2025-04-30 12:56:42.229050: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:32] Could not find cuda drivers on your machine, GPU will not be used.
2025-04-30 12:56:49,524 - ERROR - Error mengambil data ACST.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:49,524 - ERROR - Error mengambil data ADMF.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:49,525 - ERROR - ACST.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:49,525 - ERROR - ADMF.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:49,528 - ERROR - Error mengambil data ADMG.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:49,528 - ERROR - ADMG.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:49,571 - ERROR - Error mengambil data ADHI.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:49,571 - ERROR - ADHI.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:49,996 - ERROR - Error mengambil data ADRO.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:49,996 - ERROR - ADRO.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:49,997 - ERROR - Error mengambil data AGRO.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:49,998 - ERROR - AGRO.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:50,046 - ERROR - Error mengambil data AGII.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:50,046 - ERROR - AGII.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:50,480 - ERROR - Error mengambil data AKRA.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:50,480 - ERROR - AKRA.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:50,484 - ERROR - Error mengambil data ALDO.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:50,484 - ERROR - ALDO.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:50,484 - ERROR - Error mengambil data AKSI.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:50,484 - ERROR - AKSI.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:51,159 - ERROR - Error mengambil data ALKA.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:51,161 - ERROR - ALKA.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:51,756 - ERROR - Error mengambil data ALMI.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:51,757 - ERROR - ALMI.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:51,759 - ERROR - Error mengambil data AMRT.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:51,759 - ERROR - AMRT.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:51,761 - ERROR - Error mengambil data AMAG.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:51,761 - ERROR - AMAG.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:52,280 - ERROR - Error mengambil data ANJT.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:52,280 - ERROR - Error mengambil data ANDI.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:52,280 - ERROR - ANJT.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:52,280 - ERROR - ANDI.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:52,329 - ERROR - Error mengambil data ANTM.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:52,329 - ERROR - ANTM.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:52,769 - ERROR - Error mengambil data APIC.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:52,769 - ERROR - APIC.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:53,430 - ERROR - Error mengambil data ARTA.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:53,430 - ERROR - ARTA.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:53,433 - ERROR - Error mengambil data APLN.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:53,433 - ERROR - Error mengambil data ASII.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:53,433 - ERROR - APLN.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:53,433 - ERROR - ASII.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:53,434 - ERROR - Error mengambil data ARNA.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:53,437 - ERROR - ARNA.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:53,958 - ERROR - Error mengambil data ASSA.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:53,958 - ERROR - Error mengambil data ASRI.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:53,958 - ERROR - ASSA.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:53,958 - ERROR - ASRI.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:54,005 - ERROR - Error mengambil data ASJT.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:54,005 - ERROR - ASJT.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:54,008 - ERROR - Error mengambil data ATIC.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:54,009 - ERROR - ATIC.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:54,456 - ERROR - Error mengambil data BABP.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:54,456 - ERROR - BABP.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:54,459 - ERROR - Error mengambil data AUTO.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:54,460 - ERROR - AUTO.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:54,900 - ERROR - Error mengambil data BACA.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:54,900 - ERROR - BACA.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:54,902 - ERROR - Error mengambil data BAEK.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:54,902 - ERROR - BAEK.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:54,906 - ERROR - Error mengambil data BALI.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:54,906 - ERROR - BALI.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:55,438 - ERROR - Error mengambil data BAPA.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:55,438 - ERROR - BAPA.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:55,441 - ERROR - Error mengambil data BAPI.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:55,441 - ERROR - BAPI.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:55,442 - ERROR - Error mengambil data BBCA.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:55,443 - ERROR - BBCA.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:55,447 - ERROR - Error mengambil data BATA.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:55,447 - ERROR - BATA.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:56,250 - ERROR - Error mengambil data BBHI.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:56,251 - ERROR - Error mengambil data BBNI.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:56,251 - ERROR - BBHI.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:56,251 - ERROR - Error mengambil data BBKP.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:56,251 - ERROR - BBNI.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:56,252 - ERROR - BBKP.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:56,257 - ERROR - Error mengambil data BBRI.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:56,257 - ERROR - BBRI.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:56,923 - ERROR - Error mengambil data BBTN.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:56,923 - ERROR - BBTN.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:56,926 - ERROR - Error mengambil data BINA.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:56,926 - ERROR - BINA.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:56,928 - ERROR - Error mengambil data BIPP.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:56,928 - ERROR - BIPP.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:56,929 - ERROR - Error mengambil data BISI.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:56,929 - ERROR - BISI.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:57,780 - ERROR - Error mengambil data BJBR.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:57,780 - ERROR - BJBR.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:57,781 - ERROR - Error mengambil data BJTM.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:57,781 - ERROR - BJTM.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:57,786 - ERROR - Error mengambil data BKSL.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:57,786 - ERROR - BKSL.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:57,832 - ERROR - Error mengambil data BKDP.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:57,832 - ERROR - BKDP.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:58,280 - ERROR - Error mengambil data BKSW.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:58,280 - ERROR - BKSW.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:58,282 - ERROR - Error mengambil data BLTZ.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:58,282 - ERROR - BLTZ.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:58,283 - ERROR - Error mengambil data BLTA.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:58,284 - ERROR - BLTA.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:58,768 - ERROR - Error mengambil data BLUE.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:58,768 - ERROR - BLUE.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:58,769 - ERROR - Error mengambil data BMAS.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:58,769 - ERROR - BMAS.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:58,772 - ERROR - Error mengambil data BMRI.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:58,772 - ERROR - BMRI.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:58,774 - ERROR - Error mengambil data BMSR.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:58,774 - ERROR - BMSR.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:59,437 - ERROR - Error mengambil data BNBA.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:59,437 - ERROR - BNBA.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:59,440 - ERROR - Error mengambil data BMTR.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:59,440 - ERROR - BMTR.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:59,441 - ERROR - Error mengambil data BNII.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:59,442 - ERROR - BNII.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:59,450 - ERROR - Error mengambil data BNGA.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:59,451 - ERROR - BNGA.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:59,942 - ERROR - Error mengambil data BNLI.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:59,942 - ERROR - BNLI.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:59,945 - ERROR - Error mengambil data BOGA.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:59,945 - ERROR - BOGA.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:59,946 - ERROR - Error mengambil data BOLT.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:59,947 - ERROR - BOLT.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:59,949 - ERROR - Error mengambil data BOBA.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:59,949 - ERROR - BOBA.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:00,779 - ERROR - Error mengambil data BOSS.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:00,779 - ERROR - Error mengambil data BPFI.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:00,779 - ERROR - BOSS.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:00,780 - ERROR - Error mengambil data BPTR.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:00,780 - ERROR - Error mengambil data BPII.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:00,780 - ERROR - BPFI.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:00,781 - ERROR - BPTR.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:00,782 - ERROR - BPII.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:01,599 - ERROR - Error mengambil data BRIS.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:01,600 - ERROR - Error mengambil data BRAM.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:01,601 - ERROR - BRIS.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:01,601 - ERROR - Error mengambil data BRPT.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:01,601 - ERROR - Error mengambil data BRMS.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:01,601 - ERROR - BRAM.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:01,602 - ERROR - BRPT.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:01,603 - ERROR - BRMS.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:02,138 - ERROR - Error mengambil data BSSR.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:02,138 - ERROR - BSSR.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:02,140 - ERROR - Error mengambil data BTEL.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:02,141 - ERROR - BTEL.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:02,141 - ERROR - Error mengambil data BSDE.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:02,142 - ERROR - BSDE.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:02,142 - ERROR - Error mengambil data BTEK.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:02,142 - ERROR - BTEK.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:02,783 - ERROR - Error mengambil data BTON.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:02,783 - ERROR - BTON.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:02,785 - ERROR - Error mengambil data BTPN.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:02,786 - ERROR - BTPN.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:02,786 - ERROR - Error mengambil data BTPS.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:02,788 - ERROR - Error mengambil data BUDI.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:02,788 - ERROR - BTPS.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:02,788 - ERROR - BUDI.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:03,284 - ERROR - Error mengambil data BUVA.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:03,285 - ERROR - Error mengambil data BVSN.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:03,285 - ERROR - BUVA.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:03,285 - ERROR - BVSN.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:03,287 - ERROR - Error mengambil data BYAN.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:03,288 - ERROR - Error mengambil data CAKK.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:03,290 - ERROR - BYAN.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:03,290 - ERROR - CAKK.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:03,801 - ERROR - Error mengambil data CASA.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:03,801 - ERROR - Error mengambil data CARS.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:03,801 - ERROR - Error mengambil data CANI.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:03,801 - ERROR - CASA.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:03,802 - ERROR - CARS.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:03,802 - ERROR - CANI.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:03,807 - ERROR - Error mengambil data CAMP.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:03,807 - ERROR - CAMP.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:04,271 - ERROR - Error mengambil data CASH.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:04,271 - ERROR - CASH.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:04,274 - ERROR - Error mengambil data CBMF.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:04,274 - ERROR - CBMF.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:04,275 - ERROR - Error mengambil data CENT.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:04,276 - ERROR - CENT.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:04,277 - ERROR - Error mengambil data CEKA.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:04,278 - ERROR - CEKA.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:04,782 - ERROR - Error mengambil data CFIN.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:04,782 - ERROR - CFIN.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:04,782 - ERROR - Error mengambil data CINT.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:04,783 - ERROR - CINT.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:04,785 - ERROR - Error mengambil data CITA.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:04,786 - ERROR - CITA.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:04,786 - ERROR - Error mengambil data CITY.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:04,786 - ERROR - CITY.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:05,421 - ERROR - Error mengambil data CLPI.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:05,421 - ERROR - CLPI.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:05,423 - ERROR - Error mengambil data CLEO.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:05,424 - ERROR - CLEO.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:05,424 - ERROR - Error mengambil data CMNP.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:05,424 - ERROR - CMNP.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:05,467 - ERROR - Error mengambil data CLAY.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:05,467 - ERROR - CLAY.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:06,033 - ERROR - Error mengambil data CMPP.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:06,035 - ERROR - Error mengambil data CNKO.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:06,035 - ERROR - CMPP.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:06,035 - ERROR - CNKO.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:06,221 - ERROR - Error mengambil data CMRY.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:06,221 - ERROR - CMRY.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:06,622 - ERROR - Error mengambil data CNTX.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:06,622 - ERROR - CNTX.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:07,244 - ERROR - Error mengambil data COCO.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:07,244 - ERROR - COCO.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:07,247 - ERROR - Error mengambil data CPIN.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:07,247 - ERROR - CPIN.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:07,248 - ERROR - Error mengambil data COWL.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:07,249 - ERROR - COWL.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:07,859 - ERROR - Error mengambil data CPRO.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:07,859 - ERROR - CPRO.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:07,862 - ERROR - Error mengambil data CSIS.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:07,862 - ERROR - Error mengambil data CSAP.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:07,863 - ERROR - Error mengambil data CTRA.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:07,863 - ERROR - CSIS.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:07,863 - ERROR - CSAP.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:07,863 - ERROR - CTRA.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:08,335 - ERROR - Error mengambil data DEAL.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:08,335 - ERROR - Error mengambil data CTTH.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:08,336 - ERROR - Error mengambil data DEPO.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:08,336 - ERROR - DEAL.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:08,336 - ERROR - Error mengambil data DEFI.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:08,336 - ERROR - CTTH.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:08,336 - ERROR - DEPO.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:08,337 - ERROR - DEFI.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:08,880 - ERROR - Error mengambil data DGIK.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:08,881 - ERROR - DGIK.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:08,883 - ERROR - Error mengambil data DILD.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:08,883 - ERROR - DILD.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:08,884 - ERROR - Error mengambil data DIGI.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:08,886 - ERROR - DIGI.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:08,886 - ERROR - Error mengambil data DIVA.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:08,887 - ERROR - DIVA.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:09,347 - ERROR - Error mengambil data DKFT.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:09,347 - ERROR - DKFT.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:09,349 - ERROR - Error mengambil data DLTA.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:09,349 - ERROR - DLTA.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:09,351 - ERROR - Error mengambil data DMAS.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:09,351 - ERROR - DMAS.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:09,357 - ERROR - Error mengambil data DNAR.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:57:09,357 - ERROR - DNAR.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:57:09,887 - ERROR - Error mengambil data DOID.JK: Too Many Requests. Rate limited. Try after a while.
